"JST","packetnum","hostnum"
201906030500,69413,737
201906030510,66554,724
201906030520,73969,714
201906030530,68179,742
201906030540,67565,697
201906030550,71596,728
201906030600,74045,703
201906030610,76692,713
201906030620,69688,727
201906030630,81442,686
201906030640,69064,668
201906030650,76387,711
201906030700,82812,715
201906030710,74115,711
201906030720,71002,695
201906030730,64539,697
201906030740,64881,731
201906030750,66973,714
201906030800,70371,754
201906030810,77877,711
201906030820,76887,723
201906030830,73170,755
201906030840,79085,711
201906030850,72328,753
201906030900,76147,730
201906030910,70828,727
201906030920,63300,764
201906030930,76849,721
201906030940,80654,743
201906030950,73445,736
201906031000,74781,695
201906031010,69928,730
201906031020,71916,716
201906031030,68081,694
201906031040,70951,704
201906031050,68743,719
201906031100,73078,718
201906031110,67710,704
201906031120,70291,690
201906031130,72243,710
201906031140,74926,726
201906031150,66104,743
201906031200,68702,756
201906031210,71262,760
201906031220,72216,738
201906031230,67718,715
201906031240,75092,712
201906031250,71052,727
201906031300,67762,741
201906031310,70695,718
201906031320,68313,763
201906031330,67016,772
201906031340,72621,741
201906031350,72753,752
201906031400,76526,770
201906031410,70056,701
201906031420,74769,733
201906031430,71432,705
201906031440,69399,731
201906031450,64225,771
201906031500,76184,737
201906031510,68663,740
201906031520,74343,739
201906031530,72557,792
201906031540,74181,739
201906031550,69533,691
201906031600,76225,814
201906031610,72607,774
201906031620,72505,740
201906031630,74626,755
201906031640,73675,749
201906031650,71851,739
201906031700,76679,768
201906031710,75203,721
201906031720,69307,744
201906031730,69134,730
201906031740,71392,728
201906031750,66347,776
201906031800,85319,750
201906031810,67943,780
201906031820,77595,770
201906031830,67968,736
201906031840,75429,821
201906031850,76122,811
201906031900,71202,790
201906031910,64535,797
201906031920,68434,775
201906031930,71571,799
201906031940,68762,803
201906031950,70946,755
201906032000,72219,754
201906032010,75836,748
201906032020,75429,759
201906032030,71129,781
201906032040,72638,714
201906032050,68984,765
201906032100,79381,780
201906032110,72627,775
201906032120,69750,728
201906032130,72115,751
201906032140,69967,732
201906032150,70589,736
201906032200,73640,761
201906032210,86249,744
201906032220,88566,795
201906032230,91799,808
201906032240,78423,774
201906032250,81179,727
201906032300,82960,776
201906032310,76799,778
201906032320,81109,717
201906032330,80383,714
201906032340,87297,698
201906032350,84024,699
